created,source,type,class,spec,fightStyle,fightLength,enemyCount,dps,simcHash,itemLevel,talents,soulbind,id
2021-04-08,optimize,optimize,warrior,fury,Patchwerk,300,1,6809,4f8dc8a233,229,2112331,"nadjia_the_mistblade:8,331586/50:7/331576/8:6/331579/5:6/9:7/331584",185af0849f9ef10b3d6a935b942e9ba905ca14906e01211110c1731202199ece
2021-04-07,optimize,optimize,warrior,fury,Patchwerk,300,1,6807,30211fb433,229,2123331,"niya:1,322721/50:6/342270/8:6/320687/5:6/7:7/320659",d99d480d31a909db845614d5b5747bdc5e6e19f3144e56ffe60bdfaabb90bfb9
2021-03-19,armory,quick,warrior,fury,Patchwerk,300,1,6809,4e555e1bc2,229,2113331,"nadjia_the_mistblade:8,331586/11:7/331576/8:7/331579/5:7/9:7/331584",3a5954fa63ff2ef75ef8eb6356df1070f5b279964c6398333d70642ca100ff96
2021-04-12,optimize,optimize,warrior,fury,Patchwerk,300,1,6809,035741cd9a,229,2112331,"nadjia_the_mistblade:8,331586/11:7/331576/331579/5:7/331584",1d47f354a3284ac3c2f40301d5135b6502484edc4089828b951bbb6e9cfd88b8
2021-03-24,optimize,optimize,warrior,fury,Patchwerk,300,1,6808,e6856b149d,229,2122331,"niya:1,322721/50:7/342270/8:7/320687/5:7/7:7/320659",d843da83eafdae8843fe4e0e5816b3281ab09cf829a0a55bbb11e06bf6a1c824
2021-03-23,optimize,optimize,warrior,fury,Patchwerk,300,1,6809,dcccdb1727,229,2123331,"niya:1,322721/50:7/342270/8:7/320687/5:7/27:7/320659",06530d11d74931c2b2daf50ab4bd80e4156aaa08a5ca816f6694d703fd8a9164
2021-04-15,optimize,optimize,warrior,fury,Patchwerk,300,1,6808,035741cd9a,230,2122331,"niya:1,322721/50:7/342270/8:7/320687/5:7/7:7/320659",5a6c54f280244dc154df00b065df36e91c0e3720bf84130e940f60d41d96fa1c
2021-04-06,optimize,optimize,warrior,fury,Patchwerk,300,1,6809,4f8dc8a233,229,2123333,"niya:1,322721/50:7/342270/8:7/320668/5:7/27:7/320659",25096185e683cb6b4ffac949dbbd3f6b288352c92b2d4098060e4aec2329f32b
2021-04-21,optimize,optimize,warrior,arms,Patchwerk,300,1,6769,e953155fc3,229,3111223,"nadjia_the_mistblade:8,331586/11:7/331576/8:7/331579/5:7/9:7/331584",d85ec361d63995c91c39de80d381d5ad5c8eee7f39a7adb5dd012d2dee252ead
2021-04-15,optimize,optimize,warrior,arms,Patchwerk,300,1,6773,035741cd9a,229,3111223,"nadjia_the_mistblade:8,331586/11:7/331576/8:7/331579/5:7/9:7/331584",753e4a9420ac7c4669dcf50cde7eb293999a40c854f19fc98512c8f4abe75002
2021-04-21,optimize,optimize,warrior,fury,Patchwerk,300,1,6811,4d77f16e5e,229,2112331,"nadjia_the_mistblade:8,331586/11:7/331576/191:7/331579/5:7/9:7/331584",48978f2c57d3c19bd7c4e16470aedb3367a425f95774c94466fa09ab258a8f82
2021-02-03,input,quick,warrior,arms,Patchwerk,300,1,12693,598524bffc,311,3111223,"nadjia_the_mistblade:8,331586/11:3/331576/8:4/331579/5:4/50:3",20396cf042f97004c4d1eeef5969c8cc988babb03eb8c2b5c6dd3c6f9d6da265
2021-04-12,optimize,optimize,warrior,fury,Patchwerk,300,1,6810,4f8dc8a233,229,2113331,"nadjia_the_mistblade:8,331586/11:7/331576/8:7/331579/5:7/9:7/331584",7445a5e96eaa3c86de70ad262c29f49937f9b45df43591e53db938f74db13436
2021-04-15,armory,quick,warrior,fury,Patchwerk,300,1,6811,035741cd9a,229,2123331,"niya:1,322721/50:7/342270/8:7/320687/5:7/7:7/320659",8922346593d1686fb75f617a8b306c0426cfff15ad3a5a2a89436a80c294a3fb
2021-03-15,optimize,optimize,warrior,arms,Patchwerk,300,1,6778,83d1520658,230,3131222,"niya:1,322721/169:7/342270/320668/320659",849575847db51477002e2bff0a1e144de155dbb7951976c96bb9c42691039b5a
2021-04-04,optimize,optimize,warrior,arms,Patchwerk,300,1,6754,97a853ddf8,229,3113223,"nadjia_the_mistblade:8,331586/11:7/331576/8:7/331579/5:7/9:7/331584",968c1cd25da400190f0a5195e4e1231ee0b6d4e477e7741fcc6fd3e3622421e3
2021-04-05,optimize,optimize,warrior,fury,Patchwerk,300,1,6810,a08deb4199,229,2123331,"niya:1,322721/50:6/342270/8:7/320687/5:7/7:7/320659",9b0c33c33f34ff3f18a76a4d9944c5d17b42fea2eed4691bed2e193bcc146848
2021-04-17,optimize,optimize,warrior,fury,Patchwerk,300,1,6812,035741cd9a,229,2123331,"niya:1,322721/50:5/342270/8:7/320668/7:6/5:7/320659",32172aae69d7cb622265e763a4646601160a4d2a71c11d85f95ca87c601ad75c
2021-03-24,optimize,optimize,warrior,fury,Patchwerk,300,1,6812,e6856b149d,229,2122331,"niya:1,322721/50:7/342270/8:7/320687/5:7/7:7/320659",9dd4daead3f8b75b481523b653ae661685ec643930d51fb4867add0ec9be3e5e
2021-03-29,optimize,optimize,warrior,arms,Patchwerk,300,1,6831,426fffb9d6,237,2131222,"niya:1,322721/169:7/342270/8:7/320687/5:7/27:7/320659",2ddca9b4e4e389a2bdb243d1358d81e6ae4d1e509cbe5743db9a2f00bcbd2ec1
2021-04-21,optimize,optimize,warrior,fury,Patchwerk,300,1,6810,4d77f16e5e,230,2122331,"niya:1,322721/50:6/342270/8:7/320668/5:7/7:7/320659",e279c857c1ff6ca8debbaa7070e1a1074f2f61cc708e063880c319b8ce71e58d
2021-04-11,armory,quick,warrior,fury,Patchwerk,300,1,6812,46a6e476d6,230,2122331,"niya:1,322721/50:7/342270/8:7/320687/5:7/7:7/320659",2adcaa310b1ed4383b679cdaba7aa34ec2fb04a76a9b6b17bfec3575225ef556
2021-04-12,optimize,optimize,warrior,fury,Patchwerk,300,1,6811,4f8dc8a233,229,2113331,"nadjia_the_mistblade:8,331586/11:7/331576/8:7/331579/5:7/9:7/331584",f36b51bad8fc1558266f91572cd281795866acc95aa78401ff72b9fd1905e028
2021-04-14,optimize,optimize,warrior,arms,Patchwerk,300,1,6685,035741cd9a,229,3111223,"nadjia_the_mistblade:8,331586/11:7/331576/8:7/331579/5:7/9:7/331584",588bd775ff9578eb8764df637decf0317dbd15732e8aedd94f2a3acd09ee8201
2021-04-12,optimize,optimize,warrior,fury,Patchwerk,300,1,6811,4f8dc8a233,229,2113331,"nadjia_the_mistblade:8,331586/11:7/331576/8:7/331579/5:7/9:7/331584",abefe2b3e40d01e47f53cc15810c2e60ed3be844074af8c90fc4042f4cf9c766
2021-04-04,optimize,optimize,warrior,arms,Patchwerk,300,1,6761,97a853ddf8,229,3113223,"nadjia_the_mistblade:8,331586/11:7/331576/8:7/331579/5:7/9:7/331584",0d5b6d5780911dd74afc62dae38f6c7b9b2a65bc57eb264a19c0ea0a953b03fd
2021-03-17,optimize,optimize,warrior,arms,Patchwerk,300,1,6749,6696da0782,229,3111223,"nadjia_the_mistblade:8,331586/11:7/331576/8:7/331579/5:7/9:7/331584",a854d5e806e8973ef5cd245b43ab3d94489e7611d0a1c2454ee3bee65c9916b7
2021-04-09,optimize,optimize,warrior,arms,Patchwerk,300,1,6685,4f8dc8a233,229,3111223,"nadjia_the_mistblade:8,331586/11:7/331576/8:7/331579/5:7/13:7/331584",33f9eec1b1840c56684f48ed323d4df7df0d3f810bd9e0c9b54eec1b0d6149aa
2021-03-26,optimize,optimize,warrior,arms,Patchwerk,300,1,6750,fd537dc06a,230,2131222,"niya:1,322721/169:7/342270/8:7/320687/5:7/7:7/320659",960bdb88d62844bdccf114fb0b1c47a433e846f1b70933928b83b782ed26c920
2021-04-22,optimize,optimize,warrior,fury,Patchwerk,300,1,6812,a599249ac2,230,2123331,"niya:1,322721/50:7/342270/8:7/320687/5:7/7:7/320659",04c597cc1c894ed038035ce4e865573f5d2e0b325700c995c3ac979ea52e04a4
2021-04-21,armory,quick,warrior,fury,Patchwerk,300,1,6812,e953155fc3,229,2123331,"niya:1,322721/50:7/342270/8:7/320687/5:7/7:7/320659",d8ad696542a2f5b15f92ab51c30e25a1e741ec6d931833b33d5f19065e2d2401
2021-03-31,optimize,optimize,warrior,arms,Patchwerk,300,1,6686,028904a538,227,3111223,"nadjia_the_mistblade:8,331586/11:7/331576/8:7/331579/5:7/9:7/331584",61b88a988333db44547fea99876361bfc24491169f9b010e9c7b1305d605c712
2021-03-20,optimize,optimize,warrior,arms,Patchwerk,300,1,6685,90c5cc965d,227,2131222,"niya:1,322721/169:7/342270/8:7/320687/5:7/7:7/320659",92fcc9f58834a5afeedafb9f972f861e03a4fc161c4d8fed1cb97fcb4da9cf67
2021-03-30,optimize,optimize,warrior,fury,Patchwerk,300,1,6812,06a3c62c7f,235,2112331,"theotar_the_mad_duke:9,336239/9:7/336147/50:7/336247/5:7/11:7/336245",611ddedc20fdda5ee4d1ca1eaa76c82f44826439171b6d316f749ab415ebbb66
2021-04-21,optimize,optimize,warrior,arms,Patchwerk,300,1,6685,4d77f16e5e,230,3131222,"niya:1,322721/169:5/342270/8:7/320687/5:7/7:7/320659",f44ad7b35669fd6020891c342cad31608c25e42f062fba4f2aad4710012a3473
2021-04-21,optimize,optimize,warrior,arms,Patchwerk,300,1,6686,4d77f16e5e,230,3131222,"niya:1,322721/169:5/342270/8:7/320687/5:7/7:7/320659",5509d6c89b77117a44fbf8d485e8b8ad2ebc6a03cbeaa54fb63c80f1329af6ee
2021-04-07,input,quick,warrior,fury,Patchwerk,300,1,6814,30211fb433,230,2123331,"niya:1,322721/50:7/342270/8:7/320687/5:7/7:7/320659",9a197b1d2cf6915428643df82d9775d32ab0a955c00bba8e72e3ed3a0a477f67
2021-04-14,armory,quick,warrior,fury,Patchwerk,300,1,6812,035741cd9a,229,2123331,"niya:1,322721/50:7/342270/8:7/320687/5:7/7:7/320659",cebdce011d4651a67d051b9cdfa22cc2d19942fc309205b5b1fb57757adb9240
2021-03-26,armory,quick,warrior,arms,Patchwerk,300,1,6686,dcccdb1727,227,2131222,"niya:1,322721/169:7/342270/8:7/320687/5:7/7:7/320659",3d5a6ca7e313406ad2915ed17c8bd0874dee7352c50210bc7aaa03f1c6e30707
2021-04-17,optimize,optimize,warrior,fury,Patchwerk,300,1,6813,035741cd9a,230,2122331,"niya:1,322721/50:7/342270/8:7/320687/5:7/7:7/320659",0df4aa7185bac14d8d463ba22c800cc47d84f414e41315dcd8424aeef8d057eb
2021-04-21,optimize,optimize,warrior,fury,Patchwerk,300,1,6814,4d77f16e5e,229,2112331,"nadjia_the_mistblade:8,331586/11:7/331576/191:7/331579/5:7/9:7/331584",462e8fdace926ea0b2040ba4dd9043cd6a7c943de6ba0311e0e83db4491a9191
2021-04-14,optimize,optimize,warrior,fury,Patchwerk,300,1,6813,035741cd9a,229,2122331,"niya:1,322721/50:7/342270/8:7/320687/5:7/7:7/320659",f6c9bf46cfed5bbb624af810b9e8c7446ae8f95e06b581a39de1bb1ffa6417c4
2021-04-15,armory,quick,warrior,arms,Patchwerk,300,1,6687,035741cd9a,230,3111223,"nadjia_the_mistblade:8,331586/11:7/331576/8:7/331579/5:7/9:7/331584",bc854fb3aeafef4484450449b46bea275913ebf72bb98300a14df5845d5891dd
2021-04-17,optimize,optimize,warrior,fury,Patchwerk,300,1,6813,035741cd9a,230,2122331,"niya:1,322721/50:7/342270/8:7/320687/5:7/7:7/320659",32e9553132e7c4b0f4d603924e0bf157e918e014663451a1b9556c2db225a892
2021-04-14,optimize,optimize,warrior,arms,Patchwerk,300,1,6687,035741cd9a,229,3111223,"nadjia_the_mistblade:8,331586/11:7/331576/8:7/331579/5:7/9:7/331584",6f0d6b41f9e6c2ce5b6d41ec6394cfb5f6c08dc28b30dd1e642fffdd5ce18433
2021-03-03,optimize,optimize,warrior,arms,Patchwerk,300,1,6686,1002246432,229,3113223,"nadjia_the_mistblade:8,331586/11:5/331576/331579/5:7/331584",946620fc758dcd3f2c79ce33d4c3e90ce953843bce0573aafccd67ea3478c6da
2021-04-16,optimize,optimize,warrior,arms,Patchwerk,300,1,6686,6584cd7b8e,228,2132222,"niya:1,322721/169:5/342270/8:7/320687/5:7/7:7/320659",334c51b3d9c1ee18b30d89110cbf583def700d84a1c3b5692de94ef22dd6c081
2021-04-22,optimize,optimize,warrior,fury,Patchwerk,300,1,6814,b0bc2ffcff,229,2122331,"niya:1,322721/50:7/342270/8:7/320687/5:7/7:7/320659",2d280a4a528a079d2c0ee2c0fc331dc4fa8476767ff00cd735b83a0db8f3c6f0
2021-03-03,optimize,optimize,warrior,arms,Patchwerk,300,1,6686,1002246432,229,3113223,"nadjia_the_mistblade:8,331586/11:5/331576/331579/5:7/331584",94ccbe2e044bdbb1981f672b2bc51bf5b4ff66d3e6039d3f1b0aa5416b8c95e6
2021-04-21,optimize,optimize,warrior,arms,Patchwerk,300,1,6689,e953155fc3,229,3112223,"nadjia_the_mistblade:8,331586/11:6/331576/8:7/331579/5:7/9:7/331584",530d34c4bbe6ca76103805fbb89d908d27a78eebee73304c76d85f947c4f2be6
2021-04-09,optimize,optimize,warrior,arms,Patchwerk,300,1,6690,4f8dc8a233,229,3111223,"nadjia_the_mistblade:8,331586/11:7/331576/8:7/331579/5:7/13:7/331584",117a02f58c396ccd452e5f01db9519230d8dcd0b65e04571cb3def483591b8ac
2021-04-21,optimize,optimize,warrior,fury,Patchwerk,300,1,6815,4d77f16e5e,229,2123331,"niya:1,322721/50:7/342270/8:7/320687/5:7/7:7/320659",edab0e17c6ea226793f55a40b78f3950d5d545c8f74a0a5a99079d885f19bc28
2021-04-06,optimize,optimize,warrior,fury,Patchwerk,300,1,6814,a08deb4199,229,2113331,"nadjia_the_mistblade:8,331586/11:7/331576/331579/5:7/331584",81459e1c9e58a400ff2c1df4c9c1389e8260670af1b120069197d3fe009b92b7
2021-04-09,optimize,optimize,warrior,arms,Patchwerk,300,1,6690,4f8dc8a233,229,3111223,"nadjia_the_mistblade:8,331586/11:7/331576/8:7/331579/5:7/13:7/331584",5e9409bd0c51298307adb8b6c06d4e9b4c529450c695f5e35f550f97057a3908
2021-04-21,input,quick,warrior,fury,Patchwerk,300,1,6815,e953155fc3,228,2123331,"niya:1,322721/50:7/342270/8:7/320687/5:7/7:7/320659",33522ab480227ecb0a1d579094f7ecc7fe3a5926754625ac0833e5579db3eb0b
2021-04-22,optimize,optimize,warrior,arms,Patchwerk,300,1,6688,a599249ac2,230,3131222,"niya:1,322721/169:5/342270/8:7/320687/5:7/7:7/320659",91816cb8514bd86029239c742b72e2a400a7c689756087d751e170d8a729fa4d
2021-04-18,optimize,optimize,warrior,fury,Patchwerk,300,1,6815,94514eb21a,228,2113331,"nadjia_the_mistblade:8,331586/11:7/331576/8:7/331579/5:7/191:7/331584",71ab6cf4adc32b565bb89f843b53bce2b8a2b9ca07d0e797b9d2d21a93eba4e4
2021-04-14,optimize,optimize,warrior,fury,Patchwerk,300,1,6815,035741cd9a,228,2113331,"nadjia_the_mistblade:8,331586/11:7/331576/8:7/331579/5:7/191:7/331584",d8776d98baa02dbdba08762dc3a1e23c4bd32518fb96c26ec18edd2d8dd1af72
2021-04-17,optimize,optimize,warrior,fury,Patchwerk,300,1,6816,035741cd9a,230,2122331,"niya:1,322721/50:7/342270/8:7/320687/5:7/7:7/320659",208328982bb17a5648186b8e0575636a53ec2c1bcc1990b63e4d31a483a70ffb
2021-03-16,optimize,optimize,warrior,arms,Patchwerk,300,1,6692,4e555e1bc2,229,3112223,"nadjia_the_mistblade:8,331586/11:7/331576/9:7/331579/5:7/8:7/331584",a15a5e3cde6c0defeaff270a396330d2e6a4cec8a6fdbee82514b4d4343e1a56
2021-04-21,optimize,optimize,warrior,fury,Patchwerk,300,1,6815,4d77f16e5e,229,2123331,"niya:1,322721/50:7/342270/8:7/320687/5:7/7:7/320659",7287979a102b2e2e47cef2cfbff97f7f889467dba8385a1140a123d2db9944a8
2021-03-20,optimize,optimize,warrior,fury,Patchwerk,300,1,6817,4e555e1bc2,229,2113331,"nadjia_the_mistblade:8,331586/11:7/331576/8:7/331579/5:7/9:7/331584",7c4882730d53f1d279eb5f609177a0ac382a898f49ff74c56082d18776c804ef
2021-04-21,optimize,optimize,warrior,fury,Patchwerk,300,1,6817,e953155fc3,230,2113331,"nadjia_the_mistblade:8,331586/11:5/331576/8:7/331579/5:7/9:7/331584",fbc4679e2ed5a120620d5f236e7d7337599a39a72ee50ee2537668eaa157ded8
2021-03-20,optimize,optimize,warrior,fury,Patchwerk,300,1,6823,4e555e1bc2,229,2113331,"nadjia_the_mistblade:8,331586/11:7/331576/8:7/331579/5:7/9:7/331584",0e0b3ad7a13413f46bf0a8a3ee44c02fa3cc4b21e23b6dd4150ed40cfb87bc9c
2021-03-25,optimize,optimize,warrior,arms,Patchwerk,300,1,6693,e6856b149d,227,2131222,"niya:1,322721/169:7/342270/8:7/320687/5:7/7:7/320659",4a9f1f4e73bd453d4dd840395762b5899b1dab42d17c0358365c89d2ab43f835
2021-04-20,optimize,optimize,warrior,arms,Patchwerk,300,1,6693,e953155fc3,229,2131222,"niya:1,322721/169:5/342270/8:7/320687/5:7/7:7/320659",66117cc682039389a4b040d0bf8df2372a78d65a9e939b2f9fee76d7549882a6
2021-04-14,optimize,optimize,warrior,fury,Patchwerk,300,1,6817,035741cd9a,228,2113331,"nadjia_the_mistblade:8,331586/11:7/331576/331579/5:7/331584",c1f6f6affab58ced2c6d09de39d8ef344339e4bd35558e6304df07168f534bec
2021-04-20,optimize,optimize,warrior,arms,Patchwerk,300,1,6690,e953155fc3,228,2131222,"niya:1,322721/169:5/342270/8:7/320687/5:7/7:7/320659",392273af8e93ad52498fe71f404552aa32f7b526f74308597ba9b5c9d2dff28c
2021-04-07,optimize,optimize,warrior,fury,Patchwerk,300,1,6817,30211fb433,230,2123331,"niya:1,322721/50:7/342270/8:7/320687/5:7/7:7/320659",ba65bc7845d970e1ad5ca6a5af21db809b7a46edf1825373369e40b35d3a37af
2021-04-13,optimize,optimize,warrior,arms,Patchwerk,300,1,6691,035741cd9a,229,3111223,"nadjia_the_mistblade:8,331586/11:6/331576/8:7/331579/5:7/9:7/331584",f42cec46cb11bfe04c51ec49f7b576a7790d7d23c6d93bbaf2abb4f1308a954d
2021-04-22,optimize,optimize,warrior,fury,Patchwerk,300,1,6826,b0bc2ffcff,230,2122331,"niya:1,322721/50:7/342270/8:7/320687/5:7/27:6/320659",bdb730d73e32ea3cd84f50f8994253389f9a5c2f4aad01f8b2e632a6f34706cd
2021-04-20,optimize,optimize,warrior,arms,Patchwerk,300,1,6694,e953155fc3,228,2131222,"niya:1,322721/169:5/342270/8:7/320687/5:7/7:7/320659",e0d48da9955d0a2b6be734cf5514aea8780913c16056254e5d6a110a6061111e
2021-04-14,optimize,optimize,warrior,fury,Patchwerk,300,1,6817,035741cd9a,228,2113331,"nadjia_the_mistblade:8,331586/11:7/331576/8:7/331579/5:7/191:7/331584",f9247a173dd5419d928c16083c633ddbe54a6ef84a33f1b0dc4a8491243380cc
2021-04-08,optimize,optimize,warrior,arms,Patchwerk,300,1,6694,e35a42ae2d,229,2133222,"niya:1,322721/169:6/342270/8:7/320687/5:6/7:7/320659",14d8830c3fa010129365f71e544bf8f6f67f9dcd5fa6e2a2ead465e6bfd8ca09
2021-04-22,optimize,optimize,warrior,fury,Patchwerk,300,1,6823,e953155fc3,230,2113331,"nadjia_the_mistblade:8,331586/11:7/331576/331579/27:6/331584",2a443106fc0ce65664fb1e797a309e5783a6f0cb60f77118c0b12fec83b49814
2021-03-17,armory,quick,warrior,fury,Patchwerk,300,1,6826,4e555e1bc2,229,2113331,"nadjia_the_mistblade:8,331586/11:7/331576/8:7/331579/5:7/9:7/331584",86ae59a325ef8f765ee0be1a1682009aa3a730b516efb09f779e985f1cd53b0a
2021-04-07,optimize,optimize,warrior,fury,Patchwerk,300,1,6825,30211fb433,230,2122331,"niya:1,322721/50:6/342270/8:7/320668/7:7/5:7/320659",a5401345d140ad8f2df2e03c01b1ae358a3e8706a6bcf7f9039856a2d3b17b50
2021-03-15,input,quick,warrior,arms,Patchwerk,300,1,6696,435539d202,229,3112223,"nadjia_the_mistblade:8,331586/11:6/331576/331579/331584",dae7515c13c833736ef7b02cabf6ebd46ad85e9469a9f32b904bbbfb292f0bbd
2021-04-16,optimize,optimize,warrior,fury,Patchwerk,300,1,6826,ff328d3333,229,2123331,"niya:1,322721/50:6/342270/8:7/320687/5:7/27:7/320659",7f127416c7c358b8964b1539afb1d24e20a64642fbd192d8e3eebfb4b5bea540
2021-04-17,optimize,optimize,warrior,fury,Patchwerk,300,1,6826,9a3222cc2f,230,2113331,"nadjia_the_mistblade:8,331586/11:5/331576/9:7/331579/5:7/8:7/331584",671c96bd904ea96a3dfbdf9d6daabc15822c14f4317825c35a34e07a45b28dba
2021-04-21,optimize,optimize,warrior,fury,Patchwerk,300,1,6829,e953155fc3,230,2123331,"niya:1,322721/50:6/342270/8:7/320687/5:7/7:7/320659",3aac4c348e9e9eade006bf9f6fb17c8f7d46e03ae778b10926e09ae7cf7d3341
2021-03-25,optimize,optimize,warrior,arms,Patchwerk,300,1,6693,fd537dc06a,227,3111223,"nadjia_the_mistblade:8,331586/11:7/331576/8:7/331579/5:7/9:7/331584",60c79def87238ec0a6cd881ce6378a3e23b49098e19f20a867a0c93253c5007c
2021-04-08,optimize,optimize,warrior,arms,Patchwerk,300,1,6694,4f8dc8a233,229,3111223,"nadjia_the_mistblade:8,331586/11:7/331576/331579/5:7/331584",c2e119bd6ed51b9ae1e1fc1b40ee8b274691af57b45a6956f5c92804db96c256
2021-03-31,optimize,optimize,warrior,arms,Patchwerk,300,1,6696,028904a538,227,3111223,"nadjia_the_mistblade:8,331586/11:7/331576/8:7/331579/5:7/9:7/331584",406dc3ba5010a8c059355d93a08bac3176cd29dd80159aa97a872b80f61918cb
2021-03-25,optimize,optimize,warrior,arms,Patchwerk,300,1,6695,e6856b149d,227,2131222,"niya:1,322721/169:7/342270/8:7/320687/5:7/7:7/320659",f9f8ff8ea64a0b4556a18698031217514d4c63619de4a9913e6990adf25c4ffa
2021-03-29,armory,quick,warrior,fury,Patchwerk,300,1,6830,426fffb9d6,230,2113331,"nadjia_the_mistblade:8,331586/11:7/331576/8:7/331579/5:7/9:7/331584",6703aa2305a9512c04ab405d729ea5d32c4eeb5a5e44a20fe501741dde71bd28
2021-04-07,optimize,optimize,warrior,fury,Patchwerk,300,1,6827,30211fb433,229,2123331,"niya:1,322721/50:6/342270/8:7/320687/5:7/27:7/320659",05e13c94ab2bcc1d4f78a137ba01ff2de6aedc10a610b8519c6dd729349f649c
2021-04-08,optimize,optimize,warrior,fury,Patchwerk,300,1,6827,e35a42ae2d,230,2122331,"niya:1,322721/50:6/342270/8:7/320668/5:7/7:7/320659",c567a8e45b3336a8e1a5fa5ad8b2687ead39207e6c4309e4415ec1a1439f6953
2021-03-30,input,quick,warrior,fury,Patchwerk,300,1,6831,06a3c62c7f,231,2112331,"nadjia_the_mistblade:8,331586/50:7/331576/8:7/331579/5:7/11:7/331582",7959997f232bca3274225fd306d1c53b8421149d8a1d6815126b0effb9a07a34
2021-03-30,optimize,optimize,warrior,arms,Patchwerk,300,1,6695,06a3c62c7f,227,3111223,"nadjia_the_mistblade:8,331586/11:7/331576/8:7/331579/5:7/9:7/331584",94005e9a8ee1447c06b11325dbe25eafa31d9732058deb3fe63fa960e1b41162
2021-04-05,input,quick,warrior,fury,Patchwerk,300,1,6832,06a3c62c7f,230,2323331,"niya:1,322721/50:7/342270/8:7/320687/5:7/7:7/320659",79f730aa93c81fb76e3b980ad511ac55af6c55faffbccea99a50bc15779e3304
2021-04-12,optimize,optimize,warrior,fury,Patchwerk,300,1,6836,4f8dc8a233,230,2123331,"niya:1,322721/50:6/342270/8:7/320687/5:7/7:7/320659",bd007b51fd43f6310736e92d84dbdde2b3830d04b1fde4481adb98e11df7d6f7
2021-03-31,optimize,optimize,warrior,arms,Patchwerk,300,1,6697,06a3c62c7f,227,2131222,"niya:1,322721/169:7/342270/8:7/320687/5:7/7:7/320659",12857303da8c4d54f5384ed2b3ebab030dd2a150d8261ed1466ae897be549af3
2021-04-14,optimize,optimize,warrior,fury,Patchwerk,300,1,6830,035741cd9a,229,2112331,"nadjia_the_mistblade:8,331586/11:7/331576/8:7/331579/5:7/9:7/331584",96e95332710b22c82d7a3f0282eb91f0e0942f752555d95426db10c8abcac085
2021-04-05,armory,quick,warrior,fury,Patchwerk,300,1,6834,06a3c62c7f,228,2113331,"nadjia_the_mistblade:8,331586/11:7/331576/9:7/331579/5:7/8:7/331584",923a01c633e52a41cd252b3693e7bcfc2334a1a03a7133cd7b7f4b2aaca601de
2021-03-31,input,quick,warrior,arms,Patchwerk,300,1,6698,06a3c62c7f,227,2131222,"niya:1,322721/169:7/342270/8:7/320687/5:7/7:7/320659",93797ffa85dc59a537743db732f2c1957856c29fd57c3607034cd86790dee233
